작성일,제목,내용,추천수,카테고리
2025-06-30,진로 탐색을 위한 '중학교 자유학기제' 내실화,"학생들이 시험 부담에서 벗어나 자신의 꿈과 끼를 찾도록 돕는 자유학기(년)제가 실효성을 거둘 수 있도록, 지역사회와 연계한 다양하고 수준 높은 체험 프로그램을 개발하고 지원해야 합니다.",156,교육
2025-04-08,기업의 불법적인 상속·증여 근절을 위한 과세 강화,"일부 대기업 총수 일가가 '일감 몰아주기' 등 편법을 통해 경영권을 승계하고 부를 대물림하는 관행을 근절하기 위해, 관련 세법을 개정하고 국세청의 감시 및 조사를 강화해야 합니다.",86,경제
2025-03-13,사회적 고립 가구 발굴을 위한 '좋은 이웃' 네트워크 구축,"복지 사각지대에 놓여 고독사 위험에 처한 1인 가구 등을 발굴하기 위해, 지역 사정에 밝은 편의점, 부동산, 우체부 등을 '명예 사회복지공무원'으로 위촉하는 인적 안전망을 구축해야 합니다.",124,복지
2024-12-02,학대 피해 아동 쉼터 확충 및 전문 인력 양성,"가정 내 학대로부터 분리된 아동을 안전하게 보호하고 심리적 회복을 돕기 위해, '학대 피해 아동 쉼터'를 권역별로 확충하고, 심리치료사 등 전문 인력을 체계적으로 양성해야 합니다.",31,복지
2024-12-22,고속도로 터널 내 차로 변경 단속 시스템 확대,"터널 내에서 무리한 차로 변경으로 인해 발생하는 대형 사고를 예방하기 위해, 현재 일부 터널에만 설치된 '차로 변경 자동 단속 시스템'을 전국 모든 고속도로 터널로 확대해야 합니다.",36,교통
2024-10-11,화학물질 안전 관리를 위한 '화학물질 배출량' 정보 공개 확대,"기업이 배출하는 화학물질에 대한 국민의 알 권리를 보장하고, 기업의 자발적인 배출량 감축을 유도하기 위해, 현재 공개되는 정보의 종류와 범위를 대폭 확대해야 합니다.",196,환경
2025-01-17,가습기 살균제 피해자 구제를 위한 추가 지원 대책 마련,"가습기 살균제 참사로 인해 여전히 고통받고 있는 피해자 및 그 가족들을 위해, 정부 차원의 추가적인 의료비 지원과 트라우마 치유를 위한 심리 상담 프로그램을 마련해야 합니다.",34,환경
2025-08-07,택시 운전석 보호 격벽 설치 지원 확대,"승객의 폭언·폭행으로부터 택시 기사를 보호하고 안전 운행을 보장하기 위해, 택시 운전석에 보호 격벽 설치 비용의 일부를 정부와 지자체가 지원하는 사업을 확대해야 합니다.",243,교통
2025-06-28,서열화된 대학 체제 개편을 위한 '국공립대 통합 네트워크' 구축,"학벌 사회를 완화하고 고등 교육의 질을 높이기 위해, 서울대와 지방 거점 국립대를 하나의 '통합 국공립대학교' 네트워크로 묶어 공동 학위를 수여하는 방안을 제안합니다.",230,교육
2025-02-06,노인 일자리 사업 확대 및 수당 현실화,"어르신들의 활기찬 노후와 소득 보장을 위해, 공익형·사회서비스형 노인 일자리 사업을 확대하고, 월 27만원 수준인 활동 수당을 최저임금과 연동하여 현실화해야 합니다.",49,복지
2025-02-25,공정한 시장 조성을 위한 '온라인 플랫폼 공정화법' 제정,"거대 플랫폼 기업의 독점적 지위 남용(입점업체에 대한 갑질 등)을 막고, 플랫폼-입점업체-소비자가 상생하는 생태계를 만들기 위한 '온라인 플랫폼 공정화법'을 조속히 제정해야 합니다.",64,경제
2025-06-13,범죄 피해자 지원 강화를 위한 원스톱 지원센터 확대,"성폭력, 가정폭력 등 범죄 피해자가 여러 기관을 전전하는 불편 없이 한 곳에서 상담, 의료, 법률, 수사 지원을 모두 받을 수 있는 '원스톱 지원센터'를 전국적으로 확대 설치해야 합니다.",231,복지
2024-11-26,부실 금융상품 판매 방지를 위한 '금융소비자보호법' 강화,"은행이나 증권사가 고위험 금융상품을 불완전하게 판매하여 소비자에게 막대한 피해를 입히는 사례를 막기 위해, 설명 의무를 강화하고 위반 시 징벌적 과징금을 부과하도록 법을 강화해야 합니다.",110,경제
2025-02-07,생활 소음 저감을 위한 '공사장 소음 관리법' 개정,"도심 공사장에서 발생하는 소음과 비산먼지로 인한 주민들의 피해를 줄이기 위해, 소음 규제 기준을 강화하고, 주거 밀집 지역에서는 주말 및 야간 공사를 제한하도록 법을 개정해야 합니다.",53,환경
2024-12-19,과도한 입시 경쟁 완화를 위한 '수능 절대평가' 전환,"학생들을 한 줄로 세우는 상대평가 방식의 수능을 모든 영역에서 절대평가로 전환하여, 과도한 입시 경쟁과 사교육 의존도를 낮추고 공교육을 정상화하는 기반을 마련해야 합니다.",196,교육
2025-07-27,악성 임대인 정보 공개를 통한 전세사기 피해 예방,"세입자의 보증금을 상습적으로 돌려주지 않는 '악성 임대인'의 신상 정보를 공개하는 시스템을 구축하여, 임차인들이 계약 전에 위험을 확인할 수 있도록 함으로써 전세사기 피해를 예방해야 합니다.",60,경제
2025-08-11,교원의 행정업무 부담 경감을 위한 '교무행정사' 증원,"교사들이 수업과 학생 지도라는 본연의 업무에 집중할 수 있도록, 각종 행정 업무를 전담하는 '교무행정사' 인력을 모든 학교에 충분히 배치하여 과도한 행정 부담을 덜어주어야 합니다.",143,교육
2025-07-14,지속가능한 농업을 위한 '청년 농업인' 육성 지원,"고령화되는 농촌에 활력을 불어넣기 위해, 농업에 뜻을 둔 청년들에게 초기 정착 지원금, 스마트팜 시설 지원, 저금리 융자 등을 패키지로 제공하여 안정적인 영농 기반을 마련해주어야 합니다.",127,환경
2025-06-22,특성화고 현장실습생 안전 및 노동인권 보호 강화,"'콜센터 현장실습생 사망 사건'과 같은 비극이 반복되지 않도록, 특성화고 현장실습생의 안전을 확보하고 부당한 노동 행위를 근절하기 위한 '직업교육훈련촉진법'을 개정해야 합니다.",52,교육
2024-11-19,화물차 과적 및 난폭운전 근절을 위한 단속 강화,"도로 파손과 대형 사고의 주범인 화물차 과적을 근절하기 위해, 고속도로 진입로에 '움직이는 과적 단속 시스템(WIM)'을 확대 설치하고, 난폭운전에 대한 처벌을 강화해야 합니다.",57,교통
2024-11-24,기초생활수급자 선정 기준 완화(부양의무자 기준 폐지),"실제로 생계가 어려움에도 불구하고, 자녀나 부모가 있다는 이유만으로 지원을 받지 못하는 복지 사각지대를 해소하기 위해, 기초생활보장제도의 '부양의무자 기준'을 전면 폐지해야 합니다.",133,복지
2025-07-19,과도한 은행 예대마진 축소를 통한 서민 이자 부담 완화,"은행들이 금리 상승기에 예금 금리는 찔끔 올리고 대출 금리는 크게 올려 막대한 이자 수익을 얻는 관행을 개선하기 위해, 정부가 예대금리차 공시를 강화하고 합리적인 수준으로 축소하도록 유도해야 합니다.",44,경제
2025-01-20,기술혁신형 중소기업(이노비즈) R&D 지원 확대,"우리나라 경제의 허리인 중소기업이 미래 성장 동력을 확보할 수 있도록, 기술적 잠재력을 가진 '이노비즈' 인증 기업에 대한 정부의 R&D 지원 규모를 현재의 2배로 확대해야 합니다.",99,경제
2025-05-14,인구감소지역 '생활인구' 개념 도입 및 정책 지원,"정주인구뿐만 아니라, 통근·통학·관광 등 특정 지역에 체류하는 '생활인구' 개념을 도입하여, 이를 기준으로 인구감소지역에 교부금을 배분하는 등 새로운 균형발전 정책을 추진해야 합니다.",107,교육
2025-04-27,로드킬 방지를 위한 '생태통로' 설치 확대,"도로 건설로 인해 단절된 야생동물의 서식지를 연결하고 로드킬을 예방하기 위해, 야생동물 출현이 잦은 국도 및 지방도에 동물이 안전하게 이동할 수 있는 '생태통로'를 확대 설치해야 합니다.",82,환경
2025-02-16,철도 지하화를 통한 도시 공간 재창조,"도시를 단절시키고 소음·분진을 유발하는 지상 철도를 지하화하고, 그 상부 공간을 공원, 주택, 상업시설 등으로 개발하여 도시의 가치를 높이고 주민들의 삶의 질을 개선해야 합니다.",172,교통
2025-07-05,녹조 현상 해결을 위한 하천 오염원 관리 강화,"여름철마다 반복되는 강과 하천의 녹조(라떼) 현상을 해결하기 위해, 주변 공장과 축사에서 배출되는 오염물질에 대한 단속을 강화하고, 비점오염원 저감 시설 설치를 의무화해야 합니다.",39,환경
2025-01-22,자원 순환을 위한 '재활용 정거장' 사업 확대,"분리배출이 어려운 단독주택 및 빌라 지역의 재활용률을 높이기 위해, 특정 요일과 시간에 재활용품을 한 곳에 모아 배출하는 '재활용 정거장' 사업을 전국적으로 확대해야 합니다.",133,환경
2024-09-02,주가조작 등 불공정거래 행위 처벌 강화,"소액 투자자들에게 막대한 피해를 주는 주가조작, 미공개정보 이용 등 증권 범죄를 근절하기 위해, 부당이득을 전액 환수하고 관련자에 대한 처벌 수위를 선진국 수준으로 높여야 합니다.",76,경제
2024-09-10,코로나19 피해 자영업자 채무 조정을 위한 '새출발기금' 확대,"코로나19 대유행 시기 정부의 영업 제한 조치로 인해 막대한 빚을 진 자영업자들이 재기할 수 있도록, '새출발기금'의 지원 대상을 확대하고 채무 조정의 폭을 넓혀야 합니다.",43,경제
2025-04-07,산불 예방을 위한 '산불방지 임도' 확충,"기후변화로 인해 대형화되는 산불에 효과적으로 대응하기 위해, 산불 발생 시 진화 차량과 인력의 접근성을 높이는 '산불방지 임도'를 주요 산림 지역에 체계적으로 확충해야 합니다.",160,환경
2024-12-22,공매도 제도 개선을 통한 '기울어진 운동장' 해소,"개인 투자자들이 외국인·기관에 비해 불리한 조건에서 경쟁하는 현재의 공매도 제도를 개선하기 위해, 무차입 공매도에 대한 처벌을 강화하고 개인의 담보 비율을 완화하는 등의 조치가 필요합니다.",45,경제
2024-12-28,영재교육 소외계층을 위한 '온라인 영재교육원' 설립,"지리적·경제적 여건 때문에 영재교육을 받기 어려운 학생들을 위해, 시공간 제약 없이 양질의 교육을 받을 수 있는 '온라인 영재교육원'을 설립하여 교육 기회의 평등을 실현해야 합니다.",250,교육
2025-01-19,학생 건강 증진을 위한 '학교 체육' 정상화,"입시 위주의 교육으로 인해 위축된 학교 체육을 정상화하기 위해, 초·중·고교 체육 수업 시수를 늘리고, 학생들이 즐겁게 참여할 수 있는 다양한 스포츠 프로그램을 개발·보급해야 합니다.",91,교육
2025-06-23,은둔형 외톨이(히키코모리) 발굴 및 사회 복귀 지원,"사회와의 관계가 단절된 채 고립된 생활을 하는 '은둔형 외톨이'를 조기에 발굴하고, 이들이 건강한 사회 구성원으로 복귀할 수 있도록 심리 상담, 공동생활가정, 취업 연계 등 맞춤형 지원을 해야 합니다.",145,복지
2024-09-11,부동산 프로젝트 파이낸싱(PF) 부실 방지를 위한 관리 감독 강화,"부동산 경기 침체 시 우리 경제의 뇌관이 될 수 있는 부동산 PF 대출의 부실을 막기 위해, 금융 당국이 금융권의 PF 대출 현황을 면밀히 모니터링하고, 부실 사업장에 대한 구조조정을 신속히 추진해야 합니다.",156,경제
2025-01-30,빗물 재이용 촉진을 위한 '빗물 저금통' 설치 지원,"버려지는 빗물을 모아 청소나 조경 용수로 활용함으로써 물을 절약하고, 집중호우 시 도시 침수를 예방하는 효과가 있는 '빗물 저금통(저류시설)' 설치 비용을 정부가 지원해야 합니다.",121,환경
2025-08-10,보행 중 스마트폰 사용(스몸비)으로 인한 사고 예방 대책,"보행 중 스마트폰 사용으로 인해 발생하는 교통사고를 예방하기 위해, 횡단보도 앞에 '바닥 신호등'을 설치하고, 위험성을 알리는 공익광고 캠페인을 지속적으로 전개해야 합니다.",37,교통
2024-12-14,대각선 횡단보도 설치 확대를 통한 보행 편의 증진,보행자들이 교차로에서 두 번 건너지 않고 한 번에 원하는 방향으로 이동할 수 있어 안전하고 편리한 '대각선 횡단보도'를 어린이 보호구역 및 유동인구가 많은 지역 중심으로 확대 설치해야 합니다.,208,교통
2025-06-17,가업 승계 중소기업 지원을 통한 '장수 기업' 육성,"독일의 히든 챔피언처럼 기술력 있는 중소기업이 '100년 기업'으로 성장할 수 있도록, 원활한 가업 승계를 위한 상속세 부담을 완화하고, 관련 컨설팅을 지원하는 정책이 필요합니다.",128,경제
2025-04-23,담배꽁초 무단 투기 방지를 위한 '수거 보상제' 도입,"거리와 하수구를 오염시키는 담배꽁초 무단 투기를 줄이기 위해, 담배꽁초를 모아오면 일정 금액으로 보상해주는 '담배꽁초 수거 보상제'를 도입할 것을 제안합니다.",104,환경
2024-09-03,빛 공해 방지를 위한 '인공조명 관리법' 강화,"과도한 옥외 광고판이나 건물 조명으로 인한 '빛 공해'는 수면 방해, 생태계 교란 등을 유발하므로, 조명 종류 및 밝기에 대한 규제를 강화하고, 위반 시 단속을 철저히 해야 합니다.",122,환경
2024-11-05,학교 밖 청소년 지원을 위한 '꿈드림센터' 기능 강화,"다양한 이유로 학교를 그만둔 청소년들이 사회로부터 소외되지 않고 건강하게 성장할 수 있도록, '학교밖청소년지원센터(꿈드림센터)'의 상담, 교육, 취업 지원 기능을 대폭 강화해야 합니다.",120,교육
2025-03-24,해외 직구 급증에 따른 국내 소비자 보호 강화,"해외 직접 구매(직구)가 급증하면서 소비자 피해도 늘고 있으므로, 해외 쇼핑몰에서 판매하는 제품의 안전성 검사를 강화하고, 피해 발생 시 구제를 받을 수 있는 절차를 마련해야 합니다.",128,경제
2025-03-07,기업의 ESG 경영 확산을 위한 인센티브 제공,"기업들이 환경(E), 사회(S), 지배구조(G)를 고려하는 ESG 경영을 자발적으로 도입하고 확산할 수 있도록, ESG 우수 기업에 대해 세제 혜택, 정책자금 지원 등 다양한 인센티브를 제공해야 합니다.",101,경제
2024-10-02,핀테크 산업 육성을 위한 '규제 샌드박스' 활성화,"혁신적인 금융 서비스를 가진 핀테크 기업들이 규제에 막혀 사업을 포기하는 일이 없도록, 일정 기간 기존 규제를 면제·유예해주는 '금융 규제 샌드박스' 제도를 더욱 활성화해야 합니다.",130,경제
2025-01-21,의료 취약지 공공의료 강화를 위한 '지역의사제' 도입,"의사들이 수도권과 인기과에만 몰리는 현상을 해결하고, 필수의료 및 지역의료 공백을 막기 위해, 특정 지역에서 일정 기간 의무적으로 복무하는 '지역의사'를 별도로 선발·양성해야 합니다.",70,복지
2025-02-26,노인 학대 예방을 위한 '노인보호전문기관' 인력 확충,"가정이나 시설에서 발생하는 노인 학대에 신속하게 대응하고 피해자를 보호하기 위해, 현장 조사를 담당하는 '노인보호전문기관'의 상담원 등 전문 인력을 현재의 2배 수준으로 늘려야 합니다.",60,복지
2025-01-27,수도권 광역교통망 확충을 위한 GTX 조기 완공,"수도권의 만성적인 교통난을 해결하기 위해, 수도권 외곽과 서울 도심을 30분 내로 연결하는 수도권광역급행철도(GTX) A, B, C 노선을 계획대로 조기에 건설하고 개통해야 합니다.",151,교통
2025-08-10,아스팔트 대신 '투수성 블록' 포장 확대를 통한 도시 홍수 예방,"기후변화로 인한 국지성 호우 시 빗물이 땅으로 스며들지 못해 발생하는 도시 침수 피해를 예방하기 위해, 보도블록이나 주차장 바닥을 물이 잘 빠지는 '투수성 블록'으로 교체해야 합니다.",199,환경
2025-02-10,경로당 기능 확대를 통한 '노인 여가복지' 증진,"어르신들이 단순히 시간을 보내는 공간이었던 경로당을, 식사 제공은 물론 건강, 여가, 교육 등 다양한 프로그램을 제공하는 '노인 여가복지 허브'로 기능을 전환하고 지원을 확대해야 합니다.",66,복지
2025-03-12,자전거 이용 활성화를 위한 '자전거도로' 인프라 개선,"친환경 교통수단인 자전거 이용을 활성화하기 위해, 자동차 도로와 분리된 안전한 자전거 전용도로를 확충하고, 끊어진 구간을 연결하며, 노면 상태를 개선하는 등 인프라 정비가 시급합니다.",223,교통
2025-07-03,서민 금융 지원을 위한 '햇살론' 등 정책금융상품 확대,"고금리 시대에 저신용·저소득 서민들이 불법 사금융으로 내몰리지 않도록, 저금리로 생계 자금이나 사업 자금을 빌려주는 '햇살론' 등 정책서민금융상품의 공급 규모를 확대해야 합니다.",130,경제
2024-11-19,쪽방촌 등 비정상 거처 주민의 주거 상향 지원,"인간다운 삶을 위협하는 쪽방, 고시원, 비닐하우스 등 비정상 거처에 거주하는 주거 취약 계층에게 공공임대주택을 우선 공급하고, 이주 및 정착을 돕는 '주거복지센터'를 확충해야 합니다.",14,복지
2025-05-15,버스·지하철 요금 인상 부담 완화를 위한 '대중교통비 환급' 도입,"서민들의 교통비 부담을 덜어주기 위해, 월 대중교통 이용 금액의 일정 비율(예: 20%)을 연말에 환급해주는 'K-패스'와 같은 대중교통비 지원 사업을 확대 시행해야 합니다.",294,교통
2025-01-29,아이스팩 재사용을 위한 '아이스팩 수거함' 설치 확대,"신선식품 배송 증가로 급증하는 아이스팩 쓰레기를 줄이기 위해, 아파트 단지 및 주민센터 등에 '아이스팩 전용 수거함'을 설치하고, 수거된 아이스팩을 세척·소독하여 필요한 곳에 재공급해야 합니다.",92,환경
2024-12-02,꿀벌 실종(집단 폐사) 문제 해결을 위한 농약 관리 강화,"생태계에 필수적인 꿀벌이 집단으로 사라지는 현상을 막기 위해, 꿀벌에 치명적인 네오니코티노이드 계열 농약의 사용을 금지하고, 친환경 방제 기술 개발을 지원해야 합니다.",196,환경
2025-06-01,저소득층 학생 교육 정보화 지원(PC 및 인터넷 통신비 지원),"가정 환경에 따른 디지털 격차를 해소하기 위해, 저소득층 초·중·고교생에게 학습용 컴퓨터(PC)를 무상으로 지원하고, 매월 일정액의 인터넷 통신비를 지원하는 사업을 확대해야 합니다.",9,교육
2024-12-24,기업 활력 제고를 위한 '법인세' 세율 인하,"위축된 기업의 투자와 고용을 촉진하여 경제에 활력을 불어넣기 위해, 다른 OECD 국가들과의 조세 경쟁을 고려하여 현재 높은 수준인 법인세 최고 세율을 합리적인 수준으로 인하해야 합니다.",72,경제
2025-06-18,산후조리원 공공성 강화를 위한 '공공산후조리원' 확충,"민간 산후조리원의 높은 비용 부담을 완화하고, 소득 수준에 관계없이 모든 산모가 양질의 산후 돌봄 서비스를 받을 수 있도록, 지자체가 직접 운영하는 '공공산후조리원'을 확충해야 합니다.",114,복지
2025-08-22,도심 항공 교통(UAM) 상용화를 위한 법·제도 기반 마련,"'하늘을 나는 택시'로 불리는 도심 항공 교통(UAM)을 미래의 새로운 교통수단으로 육성하기 위해, 기체 안전성 인증, 전용 항로 설정, 관제 시스템 등 관련 법과 제도를 선제적으로 마련해야 합니다.",240,교통
2024-10-14,커피 찌꺼기(커피박) 재자원화 사업 지원,"생활 폐기물로 버려지는 커피 찌꺼기를 바이오 연료, 비료, 건축 자재 등으로 재활용하는 '새활용(업사이클링)' 기업을 육성하고, 지자체 차원의 공공 수거 시스템을 마련해야 합니다.",81,환경
2025-04-03,의료비 과다 지출 가구를 위한 '재난적 의료비' 지원 확대,"과도한 의료비 지출로 인해 가계가 파탄에 이르는 것을 막기 위해, 연 소득 대비 일정 비율 이상의 의료비가 발생했을 때 건강보험이 보장하지 않는 비급여 항목까지 지원하는 '재난적 의료비 지원사업'의 기준을 완화해야 합니다.",187,복지
2025-02-27,새만금 등 대규모 간척지의 친환경적 활용 방안 모색,"장기간 표류하고 있는 새만금 간척 사업의 경우, 무분별한 산업단지 개발보다는, 넓은 부지를 활용하여 대규모 태양광·풍력 발전 단지를 조성하는 등 친환경적인 방향으로 활용해야 합니다.",132,환경
2025-03-28,입양 아동 보호 강화를 위한 '입양숙려제' 및 사후관리 강화,"'정인이 사건'과 같은 아동학대 비극을 막기 위해, 예비 입양 부모가 충분히 고민하고 교육받도록 '입양숙려제'를 내실화하고, 입양 후에도 전문기관이 정기적으로 가정을 방문하여 관리하는 체계를 만들어야 합니다.",98,복지
2024-10-22,스토킹 범죄 처벌 강화 및 피해자 보호 대책 마련,"스토킹이 강력 범죄로 이어지는 것을 막기 위해, 가해자에 대한 처벌을 강화하고, 접근금지 명령 위반 시 즉각 구속하는 등 피해자를 실질적으로 보호할 수 있는 '반의사불벌죄' 폐지 등의 법 개정이 시급합니다.",160,복지
2024-08-27,환율 변동성 완화를 위한 '외환보유고' 안정적 관리,"급격한 환율 변동이 우리 경제에 미치는 충격을 최소화하기 위해, 외환 시장의 '스무딩 오퍼레이션(미세 조정)'에 필요한 외환보유고를 안정적인 수준으로 유지하고, 주요국과의 통화스와프를 확대해야 합니다.",92,경제
2025-02-21,고립·은둔 청년 발굴 및 사회 복귀 지원 프로그램,"취업난, 대인관계의 어려움 등으로 사회적으로 고립된 청년들을 발굴하고, 이들의 심리 상담, 자신감 회복 프로그램, 사회성 향상 훈련 등을 통해 건강한 사회 복귀를 지원해야 합니다.",82,복지
2024-10-21,우회전 시 '일시정지' 의무화 정착 및 홍보 강화,"교차로 우회전 시 보행자 보호를 위해 도입된 '일시정지' 의무 규정이 아직 정착되지 않고 있으므로, 운전자들을 대상으로 한 지속적인 홍보와 계도를 통해 교통 문화를 개선해야 합니다.",280,교통
2025-04-15,부실기업 구조조정 촉진을 위한 '기업구조조정촉진법' 상시화,"경제 위기 시 한계 기업의 신속하고 원활한 구조조정을 돕는 '기업구조조정촉진법'이 일몰과 재입법을 반복하고 있어 시장의 불확실성을 키우므로, 이를 상시법으로 전환해야 합니다.",65,경제
2025-05-06,아동학대 조기 발견을 위한 'e아동행복지원시스템' 고도화,"아동학대 위기 징후를 조기에 발견하기 위해, 장기결석, 영유아 건강검진 미수검 등 빅데이터를 분석하는 'e아동행복지원시스템'을 고도화하고, 지자체 담당 공무원의 현장 방문 조사를 강화해야 합니다.",20,복지
2025-05-17,반도체 등 국가 핵심 산업 초격차 유지를 위한 R&D 세액공제 확대,"대한민국 경제의 미래가 달린 반도체 등 국가전략기술 분야에서 경쟁국과의 초격차를 유지하기 위해, 기업의 R&D 및 시설투자에 대한 세액공제 혜택을 대폭 확대해야 합니다.",50,경제
2025-08-21,가계부채 증가 억제를 위한 '총부채원리금상환비율(DSR)' 관리,"국가 경제의 뇌관으로 지적되는 가계부채의 증가 속도를 관리하기 위해, 차주의 상환 능력을 심사하는 핵심 규제인 DSR 제도를 안정적으로 운영하고, 예외 적용을 최소화해야 합니다.",131,경제
2024-10-13,자립준비청년(보호종료아동) 심리·정서 지원 강화,"시설 퇴소 후 홀로서기를 시작하는 자립준비청년들이 겪는 심리적 어려움을 덜어주기 위해, 전문 상담사와의 1:1 멘토링 연결 및 정기적인 정신건강 검진을 지원해야 합니다.",2,복지
2024-12-24,전기차 폐배터리 재활용 산업 육성,"전기차 보급이 확대되면서 급증할 것으로 예상되는 폐배터리를 친환경적으로 처리하고, 여기서 희귀 광물을 추출하여 재활용하는 '전기차 폐배터리 재활용 산업'을 미래 성장 동력으로 육성해야 합니다.",8,환경
