작성일,제목,내용,추천수,카테고리
2024-10-05,'도로 위 암살자' 블랙아이스 사고 예방 대책,"겨울철 도로 위에 얇게 얼어붙어 대형 사고를 유발하는 '블랙아이스'를 예방하기 위해, 결빙 취약 구간에 자동 염수 분사 장치를 설치하고, 도로 열선을 시공하는 등 선제적인 대책이 필요합니다.",193,교통
2025-01-16,'자율주행차' 상용화를 위한 인프라 및 제도 구축,"미래 모빌리티의 핵심인 '자율주행차'가 안전하게 도로를 달릴 수 있도록, 정밀도로지도 등 인프라를 구축하고, 사고 발생 시 책임 소재를 명확히 하는 등 관련 법과 제도를 선제적으로 마련해야 합니다.",300,교통
2024-11-13,'장애인 연금' 기초급여액 인상을 통한 소득 보장 강화,"장애로 인해 근로 능력을 상실한 중증장애인의 기본적인 생활을 보장하기 위해, '장애인 연금'의 기초급여액을 국민연금 전체 가입자의 평균 소득월액과 연동하여 현실적인 수준으로 인상해야 합니다.",236,복지
2025-04-09,'대학 기부금' 활성화를 위한 세제 혜택 확대,"대학이 정부 재정에만 의존하지 않고, 동문이나 기업의 기부금을 통해 재정 건전성을 확보하고 교육의 질을 높일 수 있도록, 대학에 기부하는 개인과 법인에 대한 세액공제 혜택을 대폭 확대해야 합니다.",213,교육
2025-03-06,'요양보호사' 처우 개선 및 인력 수급 안정화,"초고령 사회 진입을 앞두고 급증하는 노인 돌봄 수요에 대응하기 위해, 열악한 노동 환경과 낮은 임금에 시달리는 '요양보호사'의 처우를 개선하고, 국가 자격 제도를 강화하여 서비스의 질을 높여야 합니다.",142,복지
2024-12-01,'아동보호전문기관' 인력 확충 및 전문성 강화,"아동학대 신고 접수부터 현장 조사, 사례 관리까지 담당하는 '아동보호전문기관'의 상담원들이 과도한 업무 부담에 시달리지 않도록, 인력을 대폭 확충하고, 이들의 전문성을 높이기 위한 교육을 강화해야 합니다.",98,복지
2025-05-10,'습지보호지역' 확대 지정을 통한 생물다양성 보전,"다양한 생물이 서식하는 '생태계의 보고'이자, 오염물질을 정화하는 '자연의 콩팥'인 습지를 보전하기 위해, 우포늪, 순천만과 같은 '습지보호지역'을 전국적으로 확대 지정하고, 훼손된 습지를 복원해야 합니다.",39,환경
2025-01-14,'알뜰교통카드'를 'K-패스'로 확대 개편하여 교통비 절감,"대중교통 이용 시 걷거나 자전거로 이동한 거리만큼 마일리지를 적립해주던 '알뜰교통카드'를, 이동거리와 상관없이 이용금액의 일정 비율을 환급해주는 'K-패스'로 확대 개편하여 더 많은 국민에게 혜택을 주어야 합니다.",181,교통
2024-10-22,'재생에너지' 보급 확대를 위한 '전력계통' 확충,"태양광, 풍력 등 재생에너지 발전량이 늘어나도 이를 수송할 '송·배전망'이 부족하여 발전을 멈추는 일이 없도록, 정부가 선제적으로 전력계통망을 확충하는 계획을 세우고 투자해야 합니다.",95,환경
2024-11-04,'산업재해' 예방을 위한 '중대재해처벌법' 실효성 강화,"건설 현장 등에서 노동자의 사망 사고가 끊이지 않는 현실을 바꾸기 위해, '중대재해처벌법'의 적용 대상을 5인 미만 사업장까지 확대하고, 안전 의무를 위반한 경영 책임자에 대한 처벌을 강화해야 합니다.",84,복지
2025-02-15,'대안교육기관' 지원 확대를 통한 교육 다양성 확보,"공교육 시스템에 적응하지 못하는 학생들에게 맞춤형 교육을 제공하는 '대안교육기관(인가, 미인가 포함)'이 안정적으로 운영될 수 있도록, 정부가 운영비 지원을 확대하고 교사의 전문성 향상을 도와야 합니다.",178,교육
2025-05-21,'공공기관' 지방 이전을 통한 국가 균형발전 완성,"수도권 과밀 해소와 국가 균형발전을 위해, 1차 공공기관 지방 이전에 이어, 아직 수도권에 남아있는 금융·R&D 관련 공공기관의 추가적인 지방 이전을 통해 혁신도시를 활성화해야 합니다.",154,경제
2024-12-14,'교통신호' 체계 개선을 통한 도심 교통 정체 완화,"불필요한 신호 대기 시간을 줄여 도심 교통 정체를 완화하기 위해, 주요 교차로의 교통량을 실시간으로 분석하여 신호 주기를 최적화하는 '인공지능(AI) 기반 스마트 신호 시스템'을 도입해야 합니다.",165,교통
2025-01-04,'사립유치원' 비리 근절을 위한 '에듀파인' 시스템 도입,"일부 사립유치원의 불투명한 회계 운영과 비리를 근절하기 위해, 모든 사립유치원이 국가관리 회계시스템인 '에듀파인'을 의무적으로 사용하도록 하여 재정 투명성을 높여야 합니다.",36,교육
2024-11-25,'예술인 고용보험' 적용 확대를 통한 사회안전망 강화,"코로나19와 같은 위기 상황에서 소득이 불안정한 예술인들을 보호하기 위해, '예술인 고용보험'의 적용 대상을 모든 예술 분야로 확대하고, 보험료 지원을 통해 가입 문턱을 낮춰야 합니다.",237,복지
2025-01-09,'의료 민영화' 반대 및 '건강보험' 보장성 강화,"국민의 건강권을 위협하고 의료비 부담을 가중시키는 '의료 민영화' 시도를 중단하고, MRI, 초음파 등 비급여 항목에 대한 건강보험 적용을 확대하는 '문재인 케어'의 보장성 강화 정책을 유지해야 합니다.",159,복지
2024-09-28,'어린이집' 보육교사 처우 개선을 통한 보육의 질 향상,"낮은 임금과 과도한 업무에 시달리는 보육교사들의 열악한 처우는 결국 보육 서비스의 질 저하로 이어지므로, 보육교사의 적정 임금을 보장하고, '교사 대 아동 비율'을 개선해야 합니다.",196,복지
2025-01-06,'기초연금' 단계적 인상을 통한 노인 빈곤 문제 완화,"OECD 최고 수준인 노인 빈곤율을 완화하기 위해, 만 65세 이상 소득 하위 70% 노인에게 지급되는 '기초연금'을 현재 30만원 수준에서 단계적으로 40만원까지 인상해야 합니다.",147,복지
2025-03-26,'디지털세' 도입을 통한 글로벌 빅테크 기업 과세,"구글, 페이스북 등 국내에서 막대한 수익을 올리면서도 세금은 제대로 내지 않는 글로벌 빅테크 기업에 대해, 이들의 국내 매출을 기준으로 세금을 부과하는 '디지털세'를 조속히 도입해야 합니다.",97,경제
2024-11-14,'카드 수수료' 인하를 통한 영세 자영업자 부담 완화,"경기 침체와 물가 상승으로 어려움을 겪는 영세 자영업자들의 경영 부담을 덜어주기 위해, 연 매출 3억원 이하 영세 가맹점의 신용카드 수수료율을 추가적으로 인하해야 합니다.",24,경제
2025-03-25,'탈플라스틱' 사회를 위한 '대체 소재' 개발 지원,"플라스틱 오염 문제에 근본적으로 대응하기 위해, 옥수수 전분 등으로 만드는 생분해성 플라스틱이나, 버섯 균사체 등 혁신적인 '대체 소재'를 개발하는 기업에 대한 R&D 지원을 확대해야 합니다.",110,환경
2024-09-10,"'장애등급제' 폐지 후속 조치, '개인별 맞춤 서비스' 강화","장애인을 등급으로 나누어 획일적인 서비스를 제공하던 '장애등급제'가 폐지된 만큼, 장애인 개개인의 필요와 욕구를 정확히 파악하여 맞춤형 서비스를 제공하는 '서비스 지원 종합조사'를 내실화해야 합니다.",236,복지
2025-07-01,'치매' 조기 진단을 위한 국가건강검진 항목 포함,"치매는 조기에 발견하여 관리하면 진행 속도를 늦출 수 있으므로, 만 65세 이상 어르신을 대상으로 하는 국가건강검진에 '인지기능 저하 검사'를 포함시켜 치매를 조기에 선별해야 합니다.",196,복지
2025-08-02,'해양쓰레기' 발생 저감을 위한 '어구보증금제' 도입,"바다에 버려져 유령어업과 해양오염을 유발하는 폐어구를 줄이기 위해, 어민들이 어구를 구매할 때 보증금을 내고, 사용 후 반납하면 돌려받는 '어구보증금제'를 도입해야 합니다.",166,환경
2025-06-23,'수소경제' 활성화를 위한 '수소 생산·유통' 인프라 구축,"미래 청정에너지인 '수소'를 안정적으로 공급하기 위해, 그레이수소가 아닌 그린·블루수소 생산 기지를 건설하고, 생산된 수소를 전국에 운송할 수 있는 파이프라인 등 유통 인프라를 구축해야 합니다.",142,경제
2024-09-20,'전기요금' 체계 합리화를 통한 에너지 효율 제고,"원가에도 못 미치는 전기요금은 에너지 과소비를 유발하고 한국전력의 막대한 적자를 초래하므로, 연료비 변동을 요금에 반영하는 '연료비 연동제'를 정상화하여 요금 체계를 합리화해야 합니다.",84,경제
2024-12-26,'평생교육' 활성화를 위한 '평생학습계좌제' 도입,"100세 시대에 누구나 원하는 때에 필요한 학습을 할 수 있도록, 개인의 학습 이력을 국가가 관리하고, 교육비를 지원하는 '평생학습계좌제'를 도입하여 전 국민의 평생학습을 지원해야 합니다.",65,교육
2025-07-12,'갯벌'의 생태적 가치 보전 및 유네스코 세계유산 등재 확대,"'한국의 갯벌'이 유네스코 세계자연유산으로 등재된 만큼, 추가 등재를 추진하고, 무분별한 매립과 개발로부터 갯벌을 지켜 생물다양성을 보전하고 지속가능한 어업의 기반을 다져야 합니다.",36,환경
2025-05-31,'대학 시간강사' 고용 안정 및 처우 개선,"고등교육법 개정(일명 강사법) 이후 오히려 대량 해고 위기에 놓인 대학 시간강사들의 고용 안정을 위해, 방학 중 임금을 지급하고, 재임용 절차를 보장하는 등 실질적인 처우 개선이 필요합니다.",235,교육
2025-06-23,'공정거래법' 전면 개정을 통한 '재벌 개혁',"소수 재벌 총수 일가의 과도한 경제력 집중과 불공정한 시장 지배를 막기 위해, 순환출자 금지, 금산분리 강화, 독립적인 감사위원 선임 등을 골자로 하는 '공정거래법' 전면 개정이 필요합니다.",149,경제
2024-10-09,'학생인권조례'의 교육적 보완 및 안정적 시행,"학생의 인권과 교사의 교권이 대립하는 것이 아니라 함께 존중받는 학교 문화를 만들기 위해, '학생인권조례'의 일부 조항을 학생의 책임과 의무를 강조하는 방향으로 보완하여 안정적으로 시행해야 합니다.",33,교육
2025-06-07,'사회서비스원' 설립 확대를 통한 돌봄 공공성 강화,"노인, 장애인, 아동 등에게 제공되는 돌봄 서비스를 민간에만 맡겨둘 경우 서비스의 질을 담보하기 어려우므로, 지자체가 직접 '사회서비스원'을 설립하여 양질의 일자리와 서비스를 제공해야 합니다.",97,복지
2024-10-14,'가정 밖 청소년' 자립 지원을 위한 '쉼터' 확충,"가정 폭력 등의 이유로 집을 나온 청소년들이 안전하게 머물며 자립을 준비할 수 있도록, 단기·중장기 '청소년 쉼터'를 확충하고, 퇴소 후에도 주거 및 생활을 지원하는 체계를 마련해야 합니다.",6,복지
2024-09-02,'혁신학교' 성과 공유를 통한 공교육 혁신,"획일적인 교육에서 벗어나 토론, 협력 등 창의적인 수업을 시도해온 '혁신학교'의 성공적인 교육 모델을 모든 일반 학교에 확산하여, 대한민국 공교육 전체의 혁신을 이끌어야 합니다.",158,교육
2024-12-24,'수시'와 '정시'의 균형 있는 대입 전형 설계,"학생부종합전형 중심의 수시와 수능 중심의 정시 중 어느 한쪽에 치우치지 않고, 두 전형이 균형을 이루도록 대입 제도를 설계하여, 학생들에게 다양한 기회를 제공하고 공정성을 확보해야 합니다.",226,교육
2024-09-02,'지리산국립공원' 케이블카 설치 반대,"수려한 자연경관과 생태계를 지닌 지리산국립공원에 케이블카를 설치하는 것은 환경 파괴를 초래할 뿐이므로, 경제성 논리가 아닌 환경 보전의 관점에서 사업을 전면 재검토해야 합니다.",44,환경
2025-06-24,"'게임 셧다운제' 폐지, 청소년의 자율적 선택권 존중","청소년의 게임 중독을 예방한다는 명목으로 도입되었으나, 실효성이 없고 문화적 자율성을 침해하는 '게임 셧다운제'를 폐지하고, 가정과 학교에서 자율적으로 이용 시간을 조절하도록 해야 합니다.",66,경제
2024-11-19,'도로 터널' 내 화재 예방 및 비상 대피 시스템 강화,"대형 인명 피해로 이어질 수 있는 도로 터널 내 화재 사고에 대비하기 위해, 물 분무 설비, 제연 설비 등 방재 시설을 확충하고, 운전자들이 신속하게 대피할 수 있도록 비상 대피로를 개선해야 합니다.",226,교통
2024-12-16,'남부내륙고속철도(서부경남 KTX)' 조기 착공,"수도권에 비해 낙후된 서부 경남 지역의 발전을 견인하고 국가 균형발전을 이루기 위해, 김천과 거제를 잇는 '남부내륙고속철도' 건설 사업을 조속히 추진해야 합니다.",291,교통
2024-12-28,'디지털 성범죄' 근절을 위한 'n번방 방지법' 실효성 강화,"불법 촬영물 유포 등 디지털 성범죄를 근절하기 위해, 웹하드 사업자 등에게 불법 촬영물 유통 방지 의무를 부과한 'n번방 방지법'이 실효성을 거둘 수 있도록, 기술적 조치를 강화하고 처벌 수위를 높여야 합니다.",156,복지
2025-07-27,'고교 무상교육' 전면 실시에 이은 '대학 교육' 공공성 강화,"고등학교까지 무상교육이 완성된 만큼, 이제는 살인적인 대학 등록금 부담을 완화하고 교육의 공공성을 높이기 위해, '반값 등록금'을 실현하고 국공립대의 역할을 강화해야 합니다.",39,교육
2024-12-23,"'고속도로 1차로'는 추월차로, 정속주행 단속 강화","고속도로 1차로는 추월할 때만 이용하는 차로라는 인식을 확산시키고, 1차로에서 느리게 정속주행하며 교통 흐름을 방해하는 '유령 정체' 유발 차량에 대한 단속을 강화해야 합니다.",186,교통
2024-10-04,'체험학습' 중 학생 안전사고 예방 대책 강화,"수학여행 등 학교 체험학습 활동 중에 발생하는 안전사고를 예방하기 위해, 사전에 안전 교육을 의무화하고, 시설물에 대한 안전 점검을 강화하며, 인솔 교사의 책임 부담을 완화하는 보험 제도를 마련해야 합니다.",80,교육
2025-03-29,'공항 소음' 피해 지역 주민 지원 확대,"공항 인근 주민들이 항공기 소음으로 겪는 정신적, 재산적 피해를 보상하기 위해, 소음 피해 보상금의 현실화, 방음 시설 설치 지원 확대, 주민들을 위한 편의 시설 확충 등 실질적인 지원 대책을 마련해야 합니다.",84,교통
2025-01-08,'노인장기요양보험' 제도 개선을 통한 돌봄의 질 향상,"거동이 불편한 어르신들을 위한 '노인장기요양보험' 제도가 안정적으로 운영될 수 있도록, 보험료율을 현실화하고, 요양보호사의 처우를 개선하며, 요양 시설에 대한 평가와 관리를 강화해야 합니다.",104,복지
2025-04-10,'크라우드 펀딩' 활성화를 통한 혁신 창업 생태계 조성,"혁신적인 아이디어나 기술을 가진 스타트업이 대중으로부터 십시일반 투자를 받아 성장할 수 있도록, '크라우드 펀딩'에 대한 불필요한 규제를 완화하고, 투자자 보호 장치를 마련하여 창업 생태계를 활성화해야 합니다.",52,경제
2024-10-10,'버스 정류장' 시설 개선을 통한 이용 편의 증진,"시민들이 버스를 기다리는 동안 추위와 더위, 미세먼지를 피할 수 있도록, 냉난방 시설과 공기청정기가 갖춰진 '스마트 쉼터' 형태의 버스 정류장을 확대 설치해야 합니다.",280,교통
2025-04-12,'자율주행 심야버스' 시범 도입을 통한 대중교통 사각지대 해소,"대중교통 운행이 끊기는 심야 시간에 이동해야 하는 시민들을 위해, 서울 일부 지역에서 운행을 시작한 '자율주행 심야버스'를 안정적으로 운영하고, 점진적으로 노선을 확대해 나가야 합니다.",187,교통
2025-07-21,'KTX·SRT' 통합을 통한 철도 공공성 강화 및 운영 효율화,"코레일과 SR로 분리 운영되어 비효율과 경쟁 문제를 낳고 있는 고속철도를 다시 통합하여, 철도 운영의 효율성을 높이고, 국민들이 더 저렴하고 편리하게 이용할 수 있도록 공공성을 강화해야 합니다.",235,교통
2025-03-05,"'초등학교 입학 연령 하향' 논란, 사회적 합의 우선","초등학교 입학 연령을 만 5세로 낮추는 정책은 교육계와 학부모들의 큰 반발을 사고 있으므로, 졸속으로 추진할 것이 아니라 충분한 연구와 사회적 논의를 통해 국민적 공감대를 먼저 형성해야 합니다.",192,교육
2024-10-13,'야생동물 구조·치료'를 위한 '야생동물구조센터' 지원 확대,"로드킬이나 밀렵 등으로 다친 야생동물을 전문적으로 구조하고 치료하여 자연으로 돌려보내는 '야생동물구조센터'가 안정적으로 운영될 수 있도록, 정부와 지자체의 인력 및 예산 지원을 확대해야 합니다.",34,환경
2024-10-08,'어린이 통학버스' 안전 관리 강화,"어린이들이 이용하는 통학버스(노란차)의 안전사고를 예방하기 위해, 모든 통학버스에 '하차 확인 장치' 설치를 의무화하고, 운전자와 동승자에 대한 안전 교육을 주기적으로 실시해야 합니다.",49,교통
2024-10-31,'학교 비정규직' 차별 해소 및 처우 개선,"학교에서 교사와 함께 교육 활동을 지원하는 영양사, 사서, 행정직원 등 비정규직 노동자들이 고용 불안과 차별에 시달리지 않도록, 이들의 정규직 전환을 추진하고 임금 체계를 개선해야 합니다.",187,교육
2024-10-31,'단말기 유통구조 개선법(단통법)' 폐지,"온 국민을 '호갱'으로 만들고, 통신사들의 배만 불린다는 비판을 받아온 '단통법'을 전면 폐지하여, 시장 경쟁을 통해 소비자들이 더 저렴하게 휴대폰을 구매할 수 있도록 해야 합니다.",4,경제
2025-03-12,'전세버스' 안전 관리 강화를 통한 대형 사고 예방,"단체 관광이나 수학여행 등에 이용되는 전세버스의 대형 사고를 예방하기 위해, 운전자의 음주 여부 확인을 의무화하고, 노후 차량에 대한 정기적인 안전 점검을 강화해야 합니다.",64,교통
2024-10-24,'악취 관리법' 강화를 통한 쾌적한 생활환경 조성,"공장이나 축사 등에서 발생하는 악취로 인해 고통받는 주민들의 삶의 질을 개선하기 위해, 악취 배출 허용 기준을 강화하고, 악취 기술 진단 지원을 통해 사업장의 저감 시설 설치를 유도해야 합니다.",71,환경
2024-10-07,'신용사면'을 통한 서민·소상공인 재기 지원,"코로나19 등으로 인해 불가피하게 빚을 갚지 못해 신용불량자가 된 서민과 소상공인들이 경제적으로 재기할 수 있도록, 소액 연체 기록을 삭제해주는 '신용사면' 조치를 시행해야 합니다.",145,경제
2025-07-24,'자살 유가족'을 위한 원스톱 지원 서비스 도입,"사랑하는 사람을 잃은 슬픔과 사회적 편견 속에서 고통받는 '자살 유가족'들이 일상을 회복할 수 있도록, 심리 상담, 법률·행정 처리, 사후 정리 등을 한 곳에서 지원하는 원스톱 서비스를 제공해야 합니다.",229,복지
2025-01-24,'특수교육 대상 학생' 지원 강화를 위한 '통합교육' 내실화,"장애 학생이 일반 학교에서 비장애 학생과 함께 교육받는 '통합교육'이 실효성을 거둘 수 있도록, 특수교사와 보조 인력을 충분히 배치하고, 모든 교사를 대상으로 한 장애 이해 교육을 강화해야 합니다.",105,교육
2024-12-06,'상생협력' 우수 기업에 대한 정부 지원 확대,"대기업이 중소 협력업체와 동반 성장하기 위해 노력하는 문화를 확산하기 위해, 협력업체에 기술 개발이나 판로 개척을 지원하는 등 '상생협력' 활동이 우수한 기업에 대해 정부 포상 및 세제 혜택을 확대해야 합니다.",155,경제
2024-12-18,'가정위탁' 아동 지원 확대를 통한 건강한 성장 지원,"친가정에서 자라기 어려운 아동들이 시설이 아닌 따뜻한 가정 환경에서 성장할 수 있도록, '가정위탁' 제도를 활성화하고, 위탁 부모에게 지급하는 양육 보조금을 현실화해야 합니다.",68,복지
2025-06-04,'수돗물' 불신 해소를 위한 '스마트 상수도' 관리 시스템 구축,"수돗물에 대한 국민의 불신을 해소하고 깨끗한 물을 안정적으로 공급하기 위해, 정보통신기술(ICT)을 활용하여 수질을 실시간으로 감시하고, 노후 상수관을 체계적으로 교체하는 '스마트 상수도' 시스템을 구축해야 합니다.",42,환경
2025-04-07,'선행학습' 유발하는 학교 시험 문제 출제 관행 개선,"학생들이 학교 수업만으로 충분히 시험을 준비할 수 있도록, 교육과정의 수준과 범위를 벗어나는 문제를 출제하여 사교육을 유발하는 일부 학교의 시험 출제 관행을 엄격히 금지하고 감독해야 합니다.",214,교육
2025-04-05,'국가교육위원회' 설립을 통한 교육 정책의 일관성 확보,"정권이 바뀔 때마다 교육 정책이 급변하여 학교 현장과 학생들이 혼란을 겪는 일을 막기 위해, 사회적 합의를 바탕으로 장기적인 교육 비전을 수립하는 초당파적 '국가교육위원회'를 설립해야 합니다.",150,교육
2025-03-01,'아동수당' 지급 연령 확대 및 보편적 복지 실현,"모든 아동의 건강한 성장을 지원하고 양육 가정의 경제적 부담을 덜어주기 위해, 현재 만 7세 미만까지 지급되는 '아동수당'의 지급 대상을 만 18세 미만까지 단계적으로 확대해야 합니다.",217,복지
2025-06-21,'청년내일채움공제' 개편을 통한 중소기업 장기근속 유도,"중소기업에 취업한 청년들의 목돈 마련을 돕고 장기근속을 유도하는 '청년내일채움공제'가 중단될 위기에 처해 있으므로, 지원 기간과 금액을 조정하여 제도를 지속 가능하도록 개편해야 합니다.",151,복지
2025-07-19,'인공지능(AI) 시대'에 대비한 미래 교육 혁신,"인공지능이 인간의 일자리를 대체하는 미래 사회에 대비하기 위해, 학생들이 정답을 찾는 능력보다는 창의적인 질문을 던지는 능력, 협업 능력, 비판적 사고력을 기를 수 있도록 교육 패러다임을 전환해야 합니다.",222,교육
2025-07-18,'전기차 화재' 대응 시스템 구축 및 안전 기준 강화,"전기차 보급 확대와 함께 증가하는 배터리 화재에 효과적으로 대응하기 위해, 지하 주차장 등에 전용 소화 장비를 설치하고, 배터리 안전성에 대한 기준을 강화하며, 화재 진압 기술을 개발해야 합니다.",289,교통
2024-08-24,'생태 면적률' 도입을 통한 친환경 도시 개발 유도,"도시를 개발할 때, 녹지나 투수성 포장 등 자연의 순환 기능을 가진 공간을 일정 비율 이상 확보하도록 의무화하는 '생태 면적률' 제도를 도입하여, 쾌적하고 지속가능한 도시를 만들어야 합니다.",107,환경
2024-10-26,'경력단절여성' 재취업 지원 강화,"출산과 육아로 인해 경력이 단절된 여성들이 다시 일터로 복귀할 수 있도록, '여성새로일하기센터'의 직업 교육 훈련을 4차 산업혁명 시대에 맞는 유망 직종 중심으로 개편하고, 인턴십을 지원해야 합니다.",32,복지
2025-03-19,'의료 사각지대' 해소를 위한 '공공병원' 확충,"수익성이 낮아 민간 병원이 기피하는 필수의료 서비스를 안정적으로 공급하고, 감염병 등 공중보건 위기 상황에 대응하기 위해, 모든 지역에 충분한 수의 '공공병원'을 설립하고 지원을 강화해야 합니다.",142,복지
2024-11-30,'청소년 노동인권' 교육 강화,"아르바이트 등 노동 현장에 일찍 뛰어드는 청소년들이 부당한 대우를 받지 않도록, 근로계약서 작성법, 주휴수당, 부당해고 대처법 등 기본적인 '노동인권' 교육을 학교에서 의무적으로 실시해야 합니다.",33,복지
2025-03-11,'지역인재' 의무 채용 확대를 통한 지방 소멸 위기 대응,"지방 대학을 졸업한 지역의 인재들이 수도권으로 유출되지 않고 지역에 정착할 수 있도록, 지역 내 공공기관과 기업이 지역인재를 의무적으로 채용하는 비율을 현재보다 상향 조정해야 합니다.",260,교육
2025-03-23,'노키즈존(No Kids Zone)' 확산에 대한 사회적 논의 필요,"아이들의 출입을 금지하는 '노키즈존'이 아동에 대한 차별이라는 주장과 업주의 영업 자유라는 주장이 맞서는 만큼, 무분별한 확산을 막고 상생의 해법을 찾기 위한 사회적 논의와 가이드라인 마련이 필요합니다.",199,복지
